"date","city_num","pm25"
"20040901.tif",1,NA
"20040901.tif",2,9.69291305541992
"20040901.tif",3,9.51790523529053
"20040901.tif",4,9.57648825645447
"20040901.tif",5,9.58887267112732
"20040901.tif",6,9.6255521774292
"20040901.tif",7,9.35764503479004
"20040901.tif",8,9.85713052749634
"20040901.tif",9,10.8756711483002
"20040901.tif",10,11.6204752922058
"20040901.tif",11,11.513952255249
"20040901.tif",12,11.1986961364746
"20040901.tif",13,11.1986961364746
"20040901.tif",14,10.1050326824188
"20040901.tif",15,10.1304416656494
"20040901.tif",16,11.0243797302246
"20040901.tif",17,10.2119016647339
"20040901.tif",18,10.3851838111877
"20040901.tif",19,10.3028831481934
"20040901.tif",20,9.3238525390625
"20040901.tif",21,9.90245628356934
"20040901.tif",22,10.1337251663208
"20040901.tif",23,10.3032970428467
"20040901.tif",24,9.69083285331726
"20040901.tif",25,9.20512294769287
"20040901.tif",26,9.20013284683228
"20040901.tif",27,9.32595491409302
"20040901.tif",28,8.98835849761963
"20040901.tif",29,NA
"20040902.tif",1,NA
"20040902.tif",2,11.2572708129883
"20040902.tif",3,10.9177889823914
"20040902.tif",4,10.969512462616
"20040902.tif",5,10.8667528629303
"20040902.tif",6,10.9999380111694
"20040902.tif",7,10.7386884689331
"20040902.tif",8,11.2880635261536
"20040902.tif",9,13.0159924030304
"20040902.tif",10,14.4717388153076
"20040902.tif",11,14.4693641662598
"20040902.tif",12,14.1388359069824
"20040902.tif",13,14.1388359069824
"20040902.tif",14,12.8818788528442
"20040902.tif",15,12.8503220081329
"20040902.tif",16,14.1272716522217
"20040902.tif",17,13.110333442688
"20040902.tif",18,13.4047908782959
"20040902.tif",19,13.2713212966919
"20040902.tif",20,11.7063179016113
"20040902.tif",21,12.7361421585083
"20040902.tif",22,13.0329990386963
"20040902.tif",23,13.383373260498
"20040902.tif",24,12.4360692501068
"20040902.tif",25,11.5869951248169
"20040902.tif",26,11.6346278190613
"20040902.tif",27,11.6317648887634
"20040902.tif",28,11.0725250244141
"20040902.tif",29,NA
"20040903.tif",1,NA
"20040903.tif",2,8.3536901473999
"20040903.tif",3,8.08899319171906
"20040903.tif",4,8.19821786880493
"20040903.tif",5,8.09900689125061
"20040903.tif",6,8.1235179901123
"20040903.tif",7,7.98212146759033
"20040903.tif",8,8.65135145187378
"20040903.tif",9,10.209734916687
"20040903.tif",10,11.4152746200562
"20040903.tif",11,11.6073684692383
"20040903.tif",12,11.6718263626099
"20040903.tif",13,11.6718263626099
"20040903.tif",14,10.9282636642456
"20040903.tif",15,10.8107368946075
"20040903.tif",16,11.9342231750488
"20040903.tif",17,11.0337333679199
"20040903.tif",18,11.2875940799713
"20040903.tif",19,11.3240194320679
"20040903.tif",20,10.5530796051025
"20040903.tif",21,10.8169794082642
"20040903.tif",22,10.9854309558868
"20040903.tif",23,10.9459552764893
"20040903.tif",24,10.4449067115784
"20040903.tif",25,9.9317455291748
"20040903.tif",26,9.98400115966797
"20040903.tif",27,9.98454761505127
"20040903.tif",28,9.52169561386108
"20040903.tif",29,NA
"20040904.tif",1,NA
"20040904.tif",2,6.45873022079468
"20040904.tif",3,6.45295608043671
"20040904.tif",4,6.55778956413269
"20040904.tif",5,6.51606845855713
"20040904.tif",6,6.50407075881958
"20040904.tif",7,6.50653123855591
"20040904.tif",8,6.9272164106369
"20040904.tif",9,7.97662138938904
"20040904.tif",10,8.91511702537537
"20040904.tif",11,9.17801284790039
"20040904.tif",12,9.2737865447998
"20040904.tif",13,9.2737865447998
"20040904.tif",14,8.34467661380768
"20040904.tif",15,8.10955560207367
"20040904.tif",16,8.14690113067627
"20040904.tif",17,7.78691947460175
"20040904.tif",18,7.82851350307465
"20040904.tif",19,7.57681179046631
"20040904.tif",20,7.04047203063965
"20040904.tif",21,7.29333734512329
"20040904.tif",22,7.25175058841705
"20040904.tif",23,7.30586004257202
"20040904.tif",24,7.04154932498932
"20040904.tif",25,6.73476362228394
"20040904.tif",26,7.03176259994507
"20040904.tif",27,7.69137167930603
"20040904.tif",28,8.09655523300171
"20040904.tif",29,NA
"20040905.tif",1,NA
"20040905.tif",2,5.93353319168091
"20040905.tif",3,5.86285269260406
"20040905.tif",4,6.00511884689331
"20040905.tif",5,5.92429709434509
"20040905.tif",6,5.90611362457275
"20040905.tif",7,5.90492343902588
"20040905.tif",8,6.08250415325165
"20040905.tif",9,6.97914409637451
"20040905.tif",10,7.71252417564392
"20040905.tif",11,7.80939483642578
"20040905.tif",12,7.4661283493042
"20040905.tif",13,7.4661283493042
"20040905.tif",14,6.86617660522461
"20040905.tif",15,6.94695830345154
"20040905.tif",16,7.7581992149353
"20040905.tif",17,6.97626662254333
"20040905.tif",18,7.14207148551941
"20040905.tif",19,7.04390573501587
"20040905.tif",20,6.67776536941528
"20040905.tif",21,6.96618509292603
"20040905.tif",22,7.21055102348328
"20040905.tif",23,7.65692615509033
"20040905.tif",24,6.96683537960052
"20040905.tif",25,6.72407054901123
"20040905.tif",26,6.76727843284607
"20040905.tif",27,6.79299998283386
"20040905.tif",28,6.53646612167358
"20040905.tif",29,NA
"20040906.tif",1,NA
"20040906.tif",2,8.10100269317627
"20040906.tif",3,8.07399487495422
"20040906.tif",4,8.14892220497131
"20040906.tif",5,8.07179951667786
"20040906.tif",6,7.99496650695801
"20040906.tif",7,7.65684461593628
"20040906.tif",8,8.45544111728668
"20040906.tif",9,9.72020196914673
"20040906.tif",10,10.6154699325562
"20040906.tif",11,10.7771673202515
"20040906.tif",12,10.3722858428955
"20040906.tif",13,10.3722858428955
"20040906.tif",14,9.50671315193176
"20040906.tif",15,9.47856736183167
"20040906.tif",16,9.74853706359863
"20040906.tif",17,9.52410888671875
"20040906.tif",18,9.55217957496643
"20040906.tif",19,9.53165245056152
"20040906.tif",20,8.47031688690186
"20040906.tif",21,9.01811790466309
"20040906.tif",22,8.88652920722961
"20040906.tif",23,9.25153636932373
"20040906.tif",24,8.63748335838318
"20040906.tif",25,8.25588512420654
"20040906.tif",26,8.35819530487061
"20040906.tif",27,8.20520091056824
"20040906.tif",28,7.72962474822998
"20040906.tif",29,NA
"20040907.tif",1,NA
"20040907.tif",2,8.30803966522217
"20040907.tif",3,8.10262179374695
"20040907.tif",4,8.22771310806274
"20040907.tif",5,8.02350997924805
"20040907.tif",6,7.97625923156738
"20040907.tif",7,7.61459589004517
"20040907.tif",8,8.03983664512634
"20040907.tif",9,8.9042044878006
"20040907.tif",10,9.6103208065033
"20040907.tif",11,9.53724956512451
"20040907.tif",12,9.17511653900146
"20040907.tif",13,9.17511653900146
"20040907.tif",14,8.30447614192963
"20040907.tif",15,8.31340825557709
"20040907.tif",16,8.69536685943604
