"date","city_num","pm25"
"20070301.tif",1,NA
"20070301.tif",2,5.79905939102173
"20070301.tif",3,6.25064957141876
"20070301.tif",4,6.3511974811554
"20070301.tif",5,6.41620302200317
"20070301.tif",6,6.44261980056763
"20070301.tif",7,6.18536376953125
"20070301.tif",8,6.58311867713928
"20070301.tif",9,6.77719664573669
"20070301.tif",10,7.11897909641266
"20070301.tif",11,7.70474481582642
"20070301.tif",12,7.37078762054443
"20070301.tif",13,7.37078762054443
"20070301.tif",14,7.07929730415344
"20070301.tif",15,7.13347291946411
"20070301.tif",16,6.73597574234009
"20070301.tif",17,6.88242292404175
"20070301.tif",18,6.91989433765411
"20070301.tif",19,6.53797483444214
"20070301.tif",20,6.83641862869263
"20070301.tif",21,6.327317237854
"20070301.tif",22,6.12188708782196
"20070301.tif",23,6.08230924606323
"20070301.tif",24,6.09146070480347
"20070301.tif",25,6.21504211425781
"20070301.tif",26,6.12762546539307
"20070301.tif",27,5.95278096199036
"20070301.tif",28,5.80528998374939
"20070301.tif",29,NA
"20070302.tif",1,NA
"20070302.tif",2,5.8788537979126
"20070302.tif",3,6.26892936229706
"20070302.tif",4,6.38434076309204
"20070302.tif",5,6.55447101593018
"20070302.tif",6,6.44535064697266
"20070302.tif",7,6.56574964523315
"20070302.tif",8,7.28755247592926
"20070302.tif",9,8.21859955787659
"20070302.tif",10,8.89145827293396
"20070302.tif",11,9.47625637054443
"20070302.tif",12,9.27588844299316
"20070302.tif",13,9.27588844299316
"20070302.tif",14,8.39321422576904
"20070302.tif",15,8.27136564254761
"20070302.tif",16,7.64280319213867
"20070302.tif",17,8.1801540851593
"20070302.tif",18,8.21359813213348
"20070302.tif",19,7.97520065307617
"20070302.tif",20,7.50238656997681
"20070302.tif",21,7.70703220367432
"20070302.tif",22,7.28297472000122
"20070302.tif",23,7.20575332641602
"20070302.tif",24,7.29019236564636
"20070302.tif",25,7.05671739578247
"20070302.tif",26,7.02564096450806
"20070302.tif",27,6.67085957527161
"20070302.tif",28,6.50707125663757
"20070302.tif",29,NA
"20070303.tif",1,NA
"20070303.tif",2,3.86319184303284
"20070303.tif",3,4.20141619443893
"20070303.tif",4,4.22115039825439
"20070303.tif",5,4.43920969963074
"20070303.tif",6,4.33928298950195
"20070303.tif",7,4.46909952163696
"20070303.tif",8,5.01010704040527
"20070303.tif",9,5.41630339622498
"20070303.tif",10,5.66652894020081
"20070303.tif",11,6.04244709014893
"20070303.tif",12,5.75842714309692
"20070303.tif",13,5.75842714309692
"20070303.tif",14,5.46328496932983
"20070303.tif",15,5.15273189544678
"20070303.tif",16,4.59201431274414
"20070303.tif",17,4.99512481689453
"20070303.tif",18,5.15416836738586
"20070303.tif",19,5.07020664215088
"20070303.tif",20,5.18014621734619
"20070303.tif",21,4.54955863952637
"20070303.tif",22,5.00071096420288
"20070303.tif",23,5.20953798294067
"20070303.tif",24,4.57495522499084
"20070303.tif",25,4.13833141326904
"20070303.tif",26,4.10026550292969
"20070303.tif",27,3.89245688915253
"20070303.tif",28,3.83884537220001
"20070303.tif",29,NA
"20070304.tif",1,NA
"20070304.tif",2,1.82235085964203
"20070304.tif",3,1.99463483691216
"20070304.tif",4,2.1369121670723
"20070304.tif",5,2.20782685279846
"20070304.tif",6,2.16597557067871
"20070304.tif",7,2.49951887130737
"20070304.tif",8,2.88466882705688
"20070304.tif",9,3.16491371393204
"20070304.tif",10,3.2430072426796
"20070304.tif",11,3.62295699119568
"20070304.tif",12,3.76231551170349
"20070304.tif",13,3.76231551170349
"20070304.tif",14,3.62636661529541
"20070304.tif",15,3.28124833106995
"20070304.tif",16,2.71853160858154
"20070304.tif",17,3.18380218744278
"20070304.tif",18,3.24109107255936
"20070304.tif",19,3.39204859733582
"20070304.tif",20,3.18106555938721
"20070304.tif",21,3.12179493904114
"20070304.tif",22,3.41187083721161
"20070304.tif",23,4.02272272109985
"20070304.tif",24,3.24544048309326
"20070304.tif",25,3.08242416381836
"20070304.tif",26,3.03879761695862
"20070304.tif",27,2.98446929454803
"20070304.tif",28,3.03420376777649
"20070304.tif",29,NA
"20070305.tif",1,NA
"20070305.tif",2,6.28957796096802
"20070305.tif",3,6.26346433162689
"20070305.tif",4,6.33380937576294
"20070305.tif",5,6.41645348072052
"20070305.tif",6,6.35789823532104
"20070305.tif",7,6.22791528701782
"20070305.tif",8,6.44172286987305
"20070305.tif",9,6.9377703666687
"20070305.tif",10,7.5256974697113
"20070305.tif",11,7.7450065612793
"20070305.tif",12,7.9319543838501
"20070305.tif",13,7.9319543838501
"20070305.tif",14,7.17788100242615
"20070305.tif",15,7.29931354522705
"20070305.tif",16,7.64516305923462
"20070305.tif",17,7.35544669628143
"20070305.tif",18,7.35814785957336
"20070305.tif",19,7.12242412567139
"20070305.tif",20,6.41444730758667
"20070305.tif",21,7.10485506057739
"20070305.tif",22,6.82542526721954
"20070305.tif",23,6.12120246887207
"20070305.tif",24,6.63011407852173
"20070305.tif",25,6.51854515075684
"20070305.tif",26,6.65181994438171
"20070305.tif",27,6.89477276802063
"20070305.tif",28,6.71716117858887
"20070305.tif",29,NA
"20070306.tif",1,NA
"20070306.tif",2,9.36313915252686
"20070306.tif",3,9.09892296791077
"20070306.tif",4,9.12023735046387
"20070306.tif",5,9.03555488586426
"20070306.tif",6,9.02062797546387
"20070306.tif",7,8.93133735656738
"20070306.tif",8,9.11945199966431
"20070306.tif",9,9.70272517204285
"20070306.tif",10,10.174756526947
"20070306.tif",11,10.665186882019
"20070306.tif",12,10.1700277328491
"20070306.tif",13,10.1700277328491
"20070306.tif",14,9.54098892211914
"20070306.tif",15,9.77519726753235
"20070306.tif",16,9.85197257995605
"20070306.tif",17,9.10229277610779
"20070306.tif",18,8.9317352771759
"20070306.tif",19,8.4482536315918
"20070306.tif",20,8.27691650390625
"20070306.tif",21,8.27892208099365
"20070306.tif",22,8.05039036273956
"20070306.tif",23,8.02836990356445
"20070306.tif",24,8.17047464847565
"20070306.tif",25,7.91314363479614
"20070306.tif",26,7.94876337051392
"20070306.tif",27,8.03297352790833
"20070306.tif",28,8.07325220108032
"20070306.tif",29,NA
"20070307.tif",1,NA
"20070307.tif",2,10.3758602142334
"20070307.tif",3,10.219610452652
"20070307.tif",4,10.4688010215759
"20070307.tif",5,10.3781039714813
"20070307.tif",6,10.3875980377197
"20070307.tif",7,10.3729114532471
"20070307.tif",8,10.9738655090332
"20070307.tif",9,11.8004670143127
"20070307.tif",10,12.3797881603241
"20070307.tif",11,12.8307943344116
"20070307.tif",12,12.325364112854
"20070307.tif",13,12.325364112854
"20070307.tif",14,11.4589493274689
"20070307.tif",15,11.4927909374237
"20070307.tif",16,11.4762897491455
"20070307.tif",17,10.7424690723419
"20070307.tif",18,10.8100936412811
"20070307.tif",19,10.2845230102539
"20070307.tif",20,10.1649971008301
"20070307.tif",21,9.79076862335205
"20070307.tif",22,9.94587230682373
"20070307.tif",23,9.1070728302002
"20070307.tif",24,9.67452502250671
"20070307.tif",25,9.71431827545166
"20070307.tif",26,9.69338464736938
"20070307.tif",27,9.54073619842529
"20070307.tif",28,9.49480581283569
"20070307.tif",29,NA
"20070308.tif",1,NA
"20070308.tif",2,10.3813037872314
"20070308.tif",3,10.2865991592407
"20070308.tif",4,10.2520885467529
"20070308.tif",5,10.2380433082581
"20070308.tif",6,10.2006883621216
"20070308.tif",7,9.87843608856201
"20070308.tif",8,10.122620344162
"20070308.tif",9,10.4897525310516
"20070308.tif",10,10.9930465221405
"20070308.tif",11,11.4126615524292
"20070308.tif",12,10.9268684387207
"20070308.tif",13,10.9268684387207
"20070308.tif",14,10.2501547336578
"20070308.tif",15,10.7240645885468
"20070308.tif",16,10.7894887924194
"20070308.tif",17,10.3506274223328
"20070308.tif",18,10.1520326137543
"20070308.tif",19,9.00395774841309
"20070308.tif",20,10.0288429260254
"20070308.tif",21,9.68555736541748
"20070308.tif",22,9.38309025764465
"20070308.tif",23,9.27535057067871
"20070308.tif",24,9.66053748130798
"20070308.tif",25,9.8238000869751
"20070308.tif",26,9.83545875549316
"20070308.tif",27,9.34775829315186
"20070308.tif",28,8.91248989105225
"20070308.tif",29,NA
"20070309.tif",1,NA
"20070309.tif",2,11.0568237304688
"20070309.tif",3,10.8153328895569
"20070309.tif",4,10.7489960193634
"20070309.tif",5,10.7372794151306
"20070309.tif",6,10.7025423049927
"20070309.tif",7,9.92162799835205
"20070309.tif",8,10.3624019622803
"20070309.tif",9,10.9074862003326
"20070309.tif",10,11.5370786190033
"20070309.tif",11,11.8476448059082
"20070309.tif",12,11.4845142364502
"20070309.tif",13,11.4845142364502
"20070309.tif",14,10.6086618900299
"20070309.tif",15,11.1109914779663
"20070309.tif",16,11.6735277175903
"20070309.tif",17,11.121057510376
"20070309.tif",18,10.8483123779297
"20070309.tif",19,9.58059787750244
"20070309.tif",20,9.29794406890869
"20070309.tif",21,9.65994167327881
"20070309.tif",22,8.92686724662781
"20070309.tif",23,8.62659358978271
"20070309.tif",24,9.41542840003967
"20070309.tif",25,9.33208560943604
"20070309.tif",26,9.60119771957397
"20070309.tif",27,9.73994874954224
"20070309.tif",28,9.18689441680908
"20070309.tif",29,NA
"20070310.tif",1,NA
"20070310.tif",2,9.63093566894531
"20070310.tif",3,9.51648569107056
"20070310.tif",4,9.45466661453247
"20070310.tif",5,9.49118781089783
"20070310.tif",6,9.43344402313232
"20070310.tif",7,8.84799575805664
"20070310.tif",8,9.3761031627655
"20070310.tif",9,9.985759973526
"20070310.tif",10,10.6443636417389
"20070310.tif",11,10.9166383743286
"20070310.tif",12,10.5119333267212
"20070310.tif",13,10.5119333267212
"20070310.tif",14,9.74295520782471
"20070310.tif",15,10.1639714241028
"20070310.tif",16,10.7970237731934
"20070310.tif",17,9.86516547203064
"20070310.tif",18,9.55480432510376
"20070310.tif",19,8.54989528656006
"20070310.tif",20,7.96682596206665
"20070310.tif",21,8.82277679443359
"20070310.tif",22,8.05901288986206
"20070310.tif",23,7.75679016113281
"20070310.tif",24,8.55681562423706
"20070310.tif",25,8.55080795288086
"20070310.tif",26,8.60836219787598
"20070310.tif",27,8.86710405349731
"20070310.tif",28,8.94972324371338
"20070310.tif",29,NA
"20070311.tif",1,NA
"20070311.tif",2,7.47447824478149
"20070311.tif",3,7.49772024154663
"20070311.tif",4,7.635950922966
"20070311.tif",5,7.7135112285614
"20070311.tif",6,7.75552034378052
"20070311.tif",7,7.15018701553345
"20070311.tif",8,7.45954418182373
"20070311.tif",9,7.73839116096497
"20070311.tif",10,7.96281313896179
"20070311.tif",11,8.05050945281982
"20070311.tif",12,7.95013523101807
"20070311.tif",13,7.95013523101807
"20070311.tif",14,7.15089523792267
"20070311.tif",15,7.48852145671844
"20070311.tif",16,7.64768552780151
"20070311.tif",17,7.77373337745667
"20070311.tif",18,7.56569957733154
"20070311.tif",19,7.45339584350586
"20070311.tif",20,6.97457790374756
"20070311.tif",21,7.55228614807129
"20070311.tif",22,7.15755081176758
"20070311.tif",23,6.99665498733521
"20070311.tif",24,7.05142974853516
"20070311.tif",25,6.92855834960938
"20070311.tif",26,7.09719157218933
