"date","city_num","pm25"
"20040701.tif",1,NA
"20040701.tif",2,4.99904584884644
"20040701.tif",3,4.99140751361847
"20040701.tif",4,5.17840933799744
"20040701.tif",5,5.01187443733215
"20040701.tif",6,5.01114845275879
"20040701.tif",7,4.97173547744751
"20040701.tif",8,5.2148072719574
"20040701.tif",9,6.04269731044769
"20040701.tif",10,6.71664130687714
"20040701.tif",11,6.75826740264893
"20040701.tif",12,6.52491760253906
"20040701.tif",13,6.52491760253906
"20040701.tif",14,5.66008365154266
"20040701.tif",15,5.56065452098846
"20040701.tif",16,5.83732748031616
"20040701.tif",17,6.17859244346619
"20040701.tif",18,6.37783133983612
"20040701.tif",19,6.21624231338501
"20040701.tif",20,5.2968544960022
"20040701.tif",21,5.85835123062134
"20040701.tif",22,5.75409090518951
"20040701.tif",23,5.8159031867981
"20040701.tif",24,5.49612557888031
"20040701.tif",25,5.13296937942505
"20040701.tif",26,5.32001686096191
"20040701.tif",27,5.49005579948425
"20040701.tif",28,5.25167155265808
"20040701.tif",29,NA
"20040702.tif",1,NA
"20040702.tif",2,6.19955396652222
"20040702.tif",3,6.00784528255463
"20040702.tif",4,6.10450851917267
"20040702.tif",5,5.99314081668854
"20040702.tif",6,5.93370246887207
"20040702.tif",7,5.86322212219238
"20040702.tif",8,6.29865217208862
"20040702.tif",9,7.45702362060547
"20040702.tif",10,8.35777759552002
"20040702.tif",11,8.34217071533203
"20040702.tif",12,8.24880599975586
"20040702.tif",13,8.24880599975586
"20040702.tif",14,7.3082822561264
"20040702.tif",15,7.33495259284973
"20040702.tif",16,7.89030838012695
"20040702.tif",17,7.61160659790039
"20040702.tif",18,7.71407961845398
"20040702.tif",19,7.38264274597168
"20040702.tif",20,6.23852634429932
"20040702.tif",21,7.00620412826538
"20040702.tif",22,6.99267542362213
"20040702.tif",23,7.06072854995728
"20040702.tif",24,6.72035229206085
"20040702.tif",25,6.21981048583984
"20040702.tif",26,6.44894742965698
"20040702.tif",27,6.60099625587463
"20040702.tif",28,6.41275238990784
"20040702.tif",29,NA
"20040703.tif",1,NA
"20040703.tif",2,5.94579553604126
"20040703.tif",3,5.80410480499268
"20040703.tif",4,5.9198294878006
"20040703.tif",5,5.86010670661926
"20040703.tif",6,5.8669958114624
"20040703.tif",7,5.63090991973877
"20040703.tif",8,5.91606545448303
"20040703.tif",9,6.72514140605927
"20040703.tif",10,7.42650103569031
"20040703.tif",11,7.47082805633545
"20040703.tif",12,7.23548746109009
"20040703.tif",13,7.23548746109009
"20040703.tif",14,6.44378042221069
"20040703.tif",15,6.39667499065399
"20040703.tif",16,6.78767204284668
"20040703.tif",17,6.82802200317383
"20040703.tif",18,6.93586552143097
"20040703.tif",19,6.6719708442688
"20040703.tif",20,5.8555064201355
"20040703.tif",21,6.4194164276123
"20040703.tif",22,6.37676680088043
"20040703.tif",23,6.35603952407837
"20040703.tif",24,6.17695713043213
"20040703.tif",25,5.91784048080444
"20040703.tif",26,6.05344843864441
"20040703.tif",27,6.05637240409851
"20040703.tif",28,5.69379925727844
"20040703.tif",29,NA
"20040704.tif",1,NA
"20040704.tif",2,9.3192081451416
"20040704.tif",3,9.06126737594604
"20040704.tif",4,9.2193500995636
"20040704.tif",5,9.06789684295654
"20040704.tif",6,9.09127140045166
"20040704.tif",7,8.79026985168457
"20040704.tif",8,9.33637881278992
"20040704.tif",9,10.629693031311
"20040704.tif",10,11.6821808815002
"20040704.tif",11,11.6840944290161
"20040704.tif",12,11.9570970535278
"20040704.tif",13,11.9570970535278
"20040704.tif",14,10.8159372806549
"20040704.tif",15,10.7835600376129
"20040704.tif",16,11.0553464889526
"20040704.tif",17,10.4904906749725
