"date","city_num","pm25"
"20050401.tif",1,NA
"20050401.tif",2,3.82498407363892
"20050401.tif",3,4.14792287349701
"20050401.tif",4,4.16668373346329
"20050401.tif",5,4.33134138584137
"20050401.tif",6,4.2955641746521
"20050401.tif",7,4.43223571777344
"20050401.tif",8,4.86830234527588
"20050401.tif",9,5.89085030555725
"20050401.tif",10,7.30267941951752
"20050401.tif",11,8.62662124633789
"20050401.tif",12,7.19679641723633
"20050401.tif",13,7.19679641723633
"20050401.tif",14,6.66017162799835
"20050401.tif",15,6.4308750629425
"20050401.tif",16,6.55419921875
"20050401.tif",17,6.47795629501343
"20050401.tif",18,6.53612685203552
"20050401.tif",19,5.63319540023804
"20050401.tif",20,5.97557163238525
"20050401.tif",21,5.43814420700073
"20050401.tif",22,4.83553516864777
"20050401.tif",23,4.04586124420166
"20050401.tif",24,4.70041131973267
"20050401.tif",25,4.75181102752686
"20050401.tif",26,4.71525549888611
"20050401.tif",27,4.40943384170532
"20050401.tif",28,4.23690986633301
"20050401.tif",29,NA
"20050402.tif",1,NA
"20050402.tif",2,5.96692609786987
"20050402.tif",3,6.11952316761017
"20050402.tif",4,6.20037376880646
"20050402.tif",5,6.21206569671631
"20050402.tif",6,6.30591821670532
"20050402.tif",7,6.56349897384644
"20050402.tif",8,6.73232936859131
"20050402.tif",9,7.6226726770401
"20050402.tif",10,8.91620373725891
"20050402.tif",11,10.2273263931274
"20050402.tif",12,8.01115989685059
"20050402.tif",13,8.01115989685059
"20050402.tif",14,7.84533858299255
"20050402.tif",15,7.88995122909546
"20050402.tif",16,8.00352382659912
"20050402.tif",17,7.11413896083832
"20050402.tif",18,7.00550854206085
"20050402.tif",19,6.15927219390869
"20050402.tif",20,7.30536556243896
"20050402.tif",21,6.26600360870361
"20050402.tif",22,5.76072907447815
"20050402.tif",23,5.05084657669067
"20050402.tif",24,5.80074858665466
"20050402.tif",25,6.08491230010986
"20050402.tif",26,6.06863379478455
"20050402.tif",27,5.66930937767029
"20050402.tif",28,5.44104170799255
"20050402.tif",29,NA
"20050403.tif",1,NA
"20050403.tif",2,6.41923475265503
"20050403.tif",3,6.39737176895142
"20050403.tif",4,6.41719996929169
"20050403.tif",5,6.48044002056122
"20050403.tif",6,6.64321136474609
"20050403.tif",7,6.7542872428894
"20050403.tif",8,6.73980808258057
"20050403.tif",9,7.19297420978546
"20050403.tif",10,8.00448524951935
"20050403.tif",11,8.66210556030273
"20050403.tif",12,8.16598510742188
"20050403.tif",13,8.16598510742188
"20050403.tif",14,8.00423991680145
"20050403.tif",15,7.980553150177
"20050403.tif",16,7.80106115341187
"20050403.tif",17,7.18936705589294
"20050403.tif",18,7.05198669433594
"20050403.tif",19,6.49244976043701
"20050403.tif",20,6.79471874237061
"20050403.tif",21,6.70921993255615
"20050403.tif",22,6.23873150348663
"20050403.tif",23,5.67144250869751
"20050403.tif",24,6.13575804233551
"20050403.tif",25,6.11778354644775
"20050403.tif",26,6.10446095466614
"20050403.tif",27,6.04724740982056
"20050403.tif",28,6.16497731208801
"20050403.tif",29,NA
"20050404.tif",1,NA
"20050404.tif",2,6.73591375350952
"20050404.tif",3,6.59742593765259
"20050404.tif",4,6.61701571941376
"20050404.tif",5,6.72706234455109
"20050404.tif",6,6.88306570053101
"20050404.tif",7,7.15756702423096
"20050404.tif",8,7.22818911075592
"20050404.tif",9,7.81416010856628
"20050404.tif",10,8.7017765045166
"20050404.tif",11,9.36813926696777
"20050404.tif",12,9.22893714904785
"20050404.tif",13,9.22893714904785
"20050404.tif",14,9.58577275276184
"20050404.tif",15,9.7282772064209
"20050404.tif",16,9.87919044494629
"20050404.tif",17,9.86644244194031
"20050404.tif",18,9.65917754173279
"20050404.tif",19,8.941162109375
"20050404.tif",20,9.29111576080322
"20050404.tif",21,8.57769203186035
"20050404.tif",22,7.92685151100159
"20050404.tif",23,7.47097396850586
"20050404.tif",24,8.35305142402649
"20050404.tif",25,8.30834007263184
"20050404.tif",26,8.33262395858765
"20050404.tif",27,7.62877058982849
"20050404.tif",28,6.91828894615173
"20050404.tif",29,NA
"20050405.tif",1,NA
"20050405.tif",2,6.77778482437134
"20050405.tif",3,6.60692059993744
"20050405.tif",4,6.65655076503754
"20050405.tif",5,6.70171916484833
"20050405.tif",6,6.90655851364136
"20050405.tif",7,7.15197706222534
"20050405.tif",8,7.18349003791809
"20050405.tif",9,7.74885201454163
"20050405.tif",10,8.47648561000824
"20050405.tif",11,9.03945159912109
"20050405.tif",12,8.46799564361572
"20050405.tif",13,8.46799564361572
"20050405.tif",14,8.36514616012573
"20050405.tif",15,8.51896691322327
"20050405.tif",16,8.65527439117432
"20050405.tif",17,8.14264142513275
"20050405.tif",18,7.96760833263397
"20050405.tif",19,7.31265258789062
"20050405.tif",20,7.92317581176758
"20050405.tif",21,7.66258573532104
"20050405.tif",22,7.1476001739502
"20050405.tif",23,6.59039545059204
"20050405.tif",24,7.12749469280243
"20050405.tif",25,7.26518630981445
"20050405.tif",26,7.30634379386902
"20050405.tif",27,7.25712156295776
"20050405.tif",28,7.30471062660217
"20050405.tif",29,NA
"20050406.tif",1,NA
"20050406.tif",2,5.96357345581055
"20050406.tif",3,5.99246263504028
"20050406.tif",4,6.0425853729248
"20050406.tif",5,6.11995553970337
"20050406.tif",6,6.30016136169434
"20050406.tif",7,6.51913690567017
"20050406.tif",8,6.8156989812851
"20050406.tif",9,7.52826571464539
"20050406.tif",10,8.22699165344238
"20050406.tif",11,9.2355899810791
"20050406.tif",12,7.69647979736328
"20050406.tif",13,7.69647979736328
"20050406.tif",14,7.47463858127594
"20050406.tif",15,7.25385272502899
"20050406.tif",16,6.74790096282959
"20050406.tif",17,7.06814432144165
"20050406.tif",18,6.97626411914825
"20050406.tif",19,6.12778854370117
"20050406.tif",20,6.72042036056519
"20050406.tif",21,5.7794451713562
"20050406.tif",22,5.53933942317963
"20050406.tif",23,4.79640007019043
"20050406.tif",24,5.61733174324036
"20050406.tif",25,5.9286675453186
"20050406.tif",26,5.90157675743103
"20050406.tif",27,5.54440236091614
"20050406.tif",28,5.47138071060181
"20050406.tif",29,NA
"20050407.tif",1,NA
"20050407.tif",2,9.22240257263184
"20050407.tif",3,9.18301963806152
"20050407.tif",4,9.13252663612366
"20050407.tif",5,9.32695651054382
"20050407.tif",6,9.5594310760498
"20050407.tif",7,9.98804950714111
"20050407.tif",8,10.2864124774933
"20050407.tif",9,11.2796096801758
"20050407.tif",10,12.3218569755554
"20050407.tif",11,13.5025968551636
"20050407.tif",12,12.2583332061768
"20050407.tif",13,12.2583332061768
"20050407.tif",14,12.6264073848724
"20050407.tif",15,12.4386956691742
"20050407.tif",16,12.0368146896362
"20050407.tif",17,11.5277121067047
"20050407.tif",18,11.2655386924744
"20050407.tif",19,10.5914030075073
"20050407.tif",20,10.5495586395264
"20050407.tif",21,10.4531297683716
"20050407.tif",22,9.59042477607727
"20050407.tif",23,8.84043025970459
"20050407.tif",24,9.64918732643127
"20050407.tif",25,9.12051963806152
"20050407.tif",26,9.21591234207153
"20050407.tif",27,8.89161586761475
"20050407.tif",28,8.31351232528687
"20050407.tif",29,NA
"20050408.tif",1,NA
"20050408.tif",2,7.18465709686279
"20050408.tif",3,7.29406082630157
"20050408.tif",4,7.34687197208405
"20050408.tif",5,7.49613618850708
"20050408.tif",6,7.71108865737915
"20050408.tif",7,7.84923124313354
"20050408.tif",8,7.86857211589813
"20050408.tif",9,8.19779777526855
"20050408.tif",10,8.67633986473083
"20050408.tif",11,9.0817985534668
"20050408.tif",12,8.47585487365723
"20050408.tif",13,8.47585487365723
"20050408.tif",14,8.50139355659485
"20050408.tif",15,8.66578412055969
"20050408.tif",16,8.83102321624756
"20050408.tif",17,8.17088961601257
"20050408.tif",18,7.79041266441345
"20050408.tif",19,6.9872612953186
"20050408.tif",20,7.60979652404785
"20050408.tif",21,7.40557146072388
"20050408.tif",22,7.01933705806732
"20050408.tif",23,6.40750455856323
"20050408.tif",24,7.07595264911652
"20050408.tif",25,7.27770328521729
"20050408.tif",26,7.34371781349182
"20050408.tif",27,6.99656891822815
"20050408.tif",28,6.71405363082886
"20050408.tif",29,NA
"20050409.tif",1,NA
"20050409.tif",2,5.46466398239136
"20050409.tif",3,5.44200670719147
"20050409.tif",4,5.46485495567322
"20050409.tif",5,5.56132006645203
"20050409.tif",6,5.68665170669556
"20050409.tif",7,5.87513303756714
"20050409.tif",8,5.91854727268219
"20050409.tif",9,6.2796219587326
"20050409.tif",10,6.7654972076416
"20050409.tif",11,7.09887552261353
"20050409.tif",12,6.67987251281738
"20050409.tif",13,6.67987251281738
"20050409.tif",14,6.87884604930878
"20050409.tif",15,7.11796748638153
"20050409.tif",16,7.29740381240845
"20050409.tif",17,6.54357540607452
"20050409.tif",18,6.3830817937851
"20050409.tif",19,5.82953882217407
"20050409.tif",20,6.26144742965698
"20050409.tif",21,5.96227121353149
"20050409.tif",22,5.54541802406311
"20050409.tif",23,4.97109508514404
"20050409.tif",24,5.75135004520416
