"date","city_num","pm25"
"20081101.tif",1,NA
"20081101.tif",2,11.3576183319092
"20081101.tif",3,11.1107125282288
"20081101.tif",4,11.0157508850098
"20081101.tif",5,11.1050763130188
"20081101.tif",6,11.168568611145
"20081101.tif",7,11.792501449585
"20081101.tif",8,11.3980946540833
"20081101.tif",9,11.6863021850586
"20081101.tif",10,12.659380197525
"20081101.tif",11,14.3778514862061
"20081101.tif",12,12.9059925079346
"20081101.tif",13,12.9059925079346
"20081101.tif",14,13.4221866130829
"20081101.tif",15,13.4072716236115
"20081101.tif",16,12.7613410949707
"20081101.tif",17,13.0509669780731
"20081101.tif",18,13.0923042297363
"20081101.tif",19,12.4834890365601
"20081101.tif",20,14.2347068786621
"20081101.tif",21,12.3236589431763
"20081101.tif",22,12.7453098297119
"20081101.tif",23,13.0033082962036
"20081101.tif",24,12.0287692546844
"20081101.tif",25,11.5993785858154
"20081101.tif",26,11.5464735031128
"20081101.tif",27,11.0044045448303
"20081101.tif",28,10.7008972167969
"20081101.tif",29,NA
"20081102.tif",1,NA
"20081102.tif",2,10.306324005127
"20081102.tif",3,10.1582658290863
"20081102.tif",4,10.1274597644806
"20081102.tif",5,10.193678855896
"20081102.tif",6,10.405909538269
"20081102.tif",7,10.8034629821777
"20081102.tif",8,10.3657989501953
"20081102.tif",9,10.2668616771698
"20081102.tif",10,10.7528209686279
"20081102.tif",11,11.9309673309326
"20081102.tif",12,11.5283460617065
"20081102.tif",13,11.5283460617065
"20081102.tif",14,11.9458322525024
"20081102.tif",15,11.795173406601
"20081102.tif",16,11.0446262359619
"20081102.tif",17,11.3027770519257
"20081102.tif",18,11.1726636886597
"20081102.tif",19,10.3674869537354
"20081102.tif",20,11.7651700973511
"20081102.tif",21,10.1176023483276
"20081102.tif",22,10.166243314743
"20081102.tif",23,10.0079250335693
"20081102.tif",24,9.85028457641602
"20081102.tif",25,9.85963439941406
"20081102.tif",26,9.63094234466553
"20081102.tif",27,8.87078809738159
"20081102.tif",28,8.48357439041138
"20081102.tif",29,NA
"20081103.tif",1,NA
"20081103.tif",2,8.96863746643066
"20081103.tif",3,8.76676344871521
"20081103.tif",4,8.69747805595398
"20081103.tif",5,8.70039105415344
"20081103.tif",6,8.77188491821289
"20081103.tif",7,8.92739486694336
"20081103.tif",8,8.44664144515991
"20081103.tif",9,8.34612560272217
"20081103.tif",10,8.94146537780762
"20081103.tif",11,9.79712104797363
"20081103.tif",12,9.4910774230957
"20081103.tif",13,9.4910774230957
"20081103.tif",14,9.58746433258057
"20081103.tif",15,9.45359706878662
"20081103.tif",16,8.65292263031006
"20081103.tif",17,8.71968507766724
"20081103.tif",18,8.84304308891296
"20081103.tif",19,8.5646333694458
"20081103.tif",20,9.44794273376465
"20081103.tif",21,8.49772357940674
"20081103.tif",22,8.8968460559845
"20081103.tif",23,8.58131980895996
"20081103.tif",24,8.48080086708069
"20081103.tif",25,8.52792358398438
"20081103.tif",26,8.43725776672363
"20081103.tif",27,7.81795978546143
"20081103.tif",28,7.41777300834656
"20081103.tif",29,NA
"20081104.tif",1,NA
"20081104.tif",2,7.26380825042725
"20081104.tif",3,7.20662879943848
"20081104.tif",4,7.32119941711426
"20081104.tif",5,7.26546120643616
"20081104.tif",6,7.31364631652832
"20081104.tif",7,7.35894918441772
"20081104.tif",8,6.84483253955841
"20081104.tif",9,6.51840782165527
"20081104.tif",10,6.85612964630127
"20081104.tif",11,7.59193992614746
"20081104.tif",12,7.80801105499268
"20081104.tif",13,7.80801105499268
"20081104.tif",14,8.18953669071198
"20081104.tif",15,7.92936503887177
"20081104.tif",16,7.01453495025635
"20081104.tif",17,7.91976368427277
"20081104.tif",18,8.30554044246674
"20081104.tif",19,7.67071294784546
"20081104.tif",20,10.3339509963989
"20081104.tif",21,7.58726406097412
"20081104.tif",22,8.48763000965118
"20081104.tif",23,7.44362545013428
"20081104.tif",24,7.37981951236725
"20081104.tif",25,7.53465461730957
"20081104.tif",26,7.41639709472656
"20081104.tif",27,6.69497227668762
"20081104.tif",28,6.30345726013184
"20081104.tif",29,NA
"20081105.tif",1,NA
"20081105.tif",2,7.19158935546875
"20081105.tif",3,7.12801098823547
"20081105.tif",4,7.09959626197815
"20081105.tif",5,7.24209797382355
"20081105.tif",6,7.30801200866699
"20081105.tif",7,7.44361352920532
"20081105.tif",8,6.9085955619812
"20081105.tif",9,6.38462233543396
"20081105.tif",10,6.42358374595642
"20081105.tif",11,7.00440168380737
"20081105.tif",12,7.3109245300293
"20081105.tif",13,7.3109245300293
"20081105.tif",14,8.3570396900177
"20081105.tif",15,8.24735236167908
"20081105.tif",16,7.56566858291626
"20081105.tif",17,7.42278730869293
"20081105.tif",18,7.43966102600098
"20081105.tif",19,7.03995943069458
"20081105.tif",20,8.80197715759277
"20081105.tif",21,7.15619421005249
"20081105.tif",22,7.56943368911743
"20081105.tif",23,7.09212684631348
"20081105.tif",24,6.97513210773468
"20081105.tif",25,7.01460027694702
"20081105.tif",26,7.09088730812073
"20081105.tif",27,7.03353953361511
"20081105.tif",28,7.41709113121033
"20081105.tif",29,NA
"20081106.tif",1,NA
"20081106.tif",2,7.97964668273926
"20081106.tif",3,8.13059687614441
"20081106.tif",4,8.07447457313538
"20081106.tif",5,8.1105945110321
"20081106.tif",6,8.09445762634277
"20081106.tif",7,8.20602416992188
"20081106.tif",8,7.61143052577972
"20081106.tif",9,7.03781116008759
"20081106.tif",10,7.30032694339752
"20081106.tif",11,8.30331897735596
"20081106.tif",12,7.97538375854492
"20081106.tif",13,7.97538375854492
"20081106.tif",14,8.56306195259094
"20081106.tif",15,8.43125534057617
"20081106.tif",16,7.64183378219604
"20081106.tif",17,7.81725311279297
"20081106.tif",18,8.39388608932495
"20081106.tif",19,7.54682970046997
"20081106.tif",20,10.784631729126
"20081106.tif",21,7.10365009307861
"20081106.tif",22,8.2446608543396
"20081106.tif",23,7.66251659393311
"20081106.tif",24,7.25653994083405
"20081106.tif",25,7.45197153091431
"20081106.tif",26,7.26874208450317
"20081106.tif",27,6.32923865318298
"20081106.tif",28,6.07873320579529
"20081106.tif",29,NA
"20081107.tif",1,NA
"20081107.tif",2,9.53691577911377
"20081107.tif",3,9.50311279296875
"20081107.tif",4,9.41333246231079
"20081107.tif",5,9.43761301040649
"20081107.tif",6,9.48305606842041
"20081107.tif",7,9.70500659942627
"20081107.tif",8,9.42139172554016
"20081107.tif",9,9.42059850692749
"20081107.tif",10,10.0512537956238
"20081107.tif",11,11.3111581802368
"20081107.tif",12,10.7627573013306
"20081107.tif",13,10.7627573013306
"20081107.tif",14,10.9864518642426
"20081107.tif",15,10.6593759059906
"20081107.tif",16,9.42278861999512
"20081107.tif",17,8.81861114501953
"20081107.tif",18,9.33978676795959
"20081107.tif",19,8.27731227874756
"20081107.tif",20,12.1429843902588
"20081107.tif",21,7.54153728485107
"20081107.tif",22,8.88857293128967
"20081107.tif",23,8.40434837341309
"20081107.tif",24,7.66373097896576
"20081107.tif",25,7.78183698654175
"20081107.tif",26,7.56427001953125
"20081107.tif",27,6.5359251499176
"20081107.tif",28,6.37802577018738
"20081107.tif",29,NA
"20081108.tif",1,NA
"20081108.tif",2,11.4924631118774
"20081108.tif",3,11.4121778011322
"20081108.tif",4,11.2566649913788
"20081108.tif",5,11.2947618961334
"20081108.tif",6,11.2911539077759
"20081108.tif",7,11.4529542922974
"20081108.tif",8,11.2710199356079
"20081108.tif",9,11.3165204524994
"20081108.tif",10,12.5534181594849
"20081108.tif",11,14.9321241378784
"20081108.tif",12,13.6948509216309
"20081108.tif",13,13.6948509216309
"20081108.tif",14,14.0324630737305
"20081108.tif",15,13.6192157268524
"20081108.tif",16,12.0167064666748
"20081108.tif",17,12.0967676639557
"20081108.tif",18,12.6234936714172
"20081108.tif",19,11.1925525665283
"20081108.tif",20,14.3837633132935
"20081108.tif",21,10.2262210845947
"20081108.tif",22,11.4666004180908
"20081108.tif",23,11.5514831542969
"20081108.tif",24,10.4379427433014
"20081108.tif",25,10.4064140319824
"20081108.tif",26,10.2577381134033
"20081108.tif",27,9.15807676315308
"20081108.tif",28,8.90080118179321
"20081108.tif",29,NA
"20081109.tif",1,NA
"20081109.tif",2,9.01309776306152
"20081109.tif",3,9.02859616279602
"20081109.tif",4,8.96509408950806
"20081109.tif",5,9.02410101890564
"20081109.tif",6,9.08320140838623
"20081109.tif",7,9.1843090057373
"20081109.tif",8,8.85469675064087
"20081109.tif",9,8.57163286209106
"20081109.tif",10,8.58306455612183
"20081109.tif",11,8.88056564331055
"20081109.tif",12,9.37375068664551
"20081109.tif",13,9.37375068664551
"20081109.tif",14,9.37165927886963
"20081109.tif",15,9.02608704566956
"20081109.tif",16,7.58733940124512
"20081109.tif",17,7.54160809516907
"20081109.tif",18,7.09615409374237
"20081109.tif",19,6.22965431213379
"20081109.tif",20,9.29333305358887
"20081109.tif",21,6.44613790512085
"20081109.tif",22,6.40455937385559
"20081109.tif",23,6.15771770477295
"20081109.tif",24,6.10836386680603
"20081109.tif",25,6.18794631958008
"20081109.tif",26,5.90714597702026
"20081109.tif",27,5.36338043212891
"20081109.tif",28,4.41469180583954
"20081109.tif",29,NA
"20081110.tif",1,NA
"20081110.tif",2,9.56852340698242
"20081110.tif",3,9.43579053878784
"20081110.tif",4,9.41319870948792
"20081110.tif",5,9.41881990432739
"20081110.tif",6,9.52658462524414
"20081110.tif",7,9.64558982849121
"20081110.tif",8,9.12218046188354
"20081110.tif",9,8.58556246757507
"20081110.tif",10,8.48361110687256
"20081110.tif",11,8.85572624206543
"20081110.tif",12,9.18152332305908
"20081110.tif",13,9.18152332305908
"20081110.tif",14,10.1598851680756
"20081110.tif",15,10.3403077125549
"20081110.tif",16,9.59629154205322
"20081110.tif",17,9.1852548122406
"20081110.tif",18,9.15487289428711
"20081110.tif",19,8.71772480010986
"20081110.tif",20,11.2902927398682
"20081110.tif",21,9.21472263336182
"20081110.tif",22,10.0102701187134
"20081110.tif",23,9.56187629699707
"20081110.tif",24,9.42951416969299
"20081110.tif",25,9.62201976776123
"20081110.tif",26,9.49311685562134
"20081110.tif",27,8.67732167243958
"20081110.tif",28,8.27804827690125
"20081110.tif",29,NA
"20081111.tif",1,NA
"20081111.tif",2,8.87666511535645
"20081111.tif",3,8.77407217025757
"20081111.tif",4,8.83763408660889
"20081111.tif",5,8.89094829559326
"20081111.tif",6,9.04885578155518
"20081111.tif",7,9.42224502563477
"20081111.tif",8,8.9933876991272
"20081111.tif",9,9.15177750587463
"20081111.tif",10,9.74671745300293
"20081111.tif",11,10.6032819747925
"20081111.tif",12,10.5586652755737
"20081111.tif",13,10.5586652755737
"20081111.tif",14,10.9082319736481
