"date","city_num","pm25"
"20160901.tif",1,NA
"20160901.tif",2,4.38779163360596
"20160901.tif",3,4.40579092502594
"20160901.tif",4,4.35992956161499
"20160901.tif",5,4.34494996070862
"20160901.tif",6,4.5224289894104
"20160901.tif",7,4.73086929321289
"20160901.tif",8,4.53630638122559
"20160901.tif",9,4.84107077121735
"20160901.tif",10,5.1329939365387
"20160901.tif",11,5.15989685058594
"20160901.tif",12,4.17299461364746
"20160901.tif",13,4.17299461364746
"20160901.tif",14,4.14200413227081
"20160901.tif",15,3.95342427492142
"20160901.tif",16,3.49878668785095
"20160901.tif",17,3.42120319604874
"20160901.tif",18,3.46061456203461
"20160901.tif",19,3.53975820541382
"20160901.tif",20,3.62892842292786
"20160901.tif",21,3.74972152709961
"20160901.tif",22,3.54906326532364
"20160901.tif",23,3.65471458435059
"20160901.tif",24,3.88407796621323
"20160901.tif",25,3.87823224067688
"20160901.tif",26,3.75870132446289
"20160901.tif",27,3.60719454288483
"20160901.tif",28,3.34416162967682
"20160901.tif",29,NA
"20160902.tif",1,NA
"20160902.tif",2,5.12780618667603
"20160902.tif",3,5.07490956783295
"20160902.tif",4,4.91053009033203
"20160902.tif",5,4.86890733242035
"20160902.tif",6,5.10850191116333
"20160902.tif",7,4.92465686798096
"20160902.tif",8,5.03843939304352
"20160902.tif",9,5.18175184726715
"20160902.tif",10,5.27067446708679
"20160902.tif",11,5.40684795379639
"20160902.tif",12,4.38403749465942
"20160902.tif",13,4.38403749465942
"20160902.tif",14,4.32607424259186
"20160902.tif",15,4.10591757297516
"20160902.tif",16,3.42371773719788
"20160902.tif",17,3.71405518054962
"20160902.tif",18,3.70358258485794
"20160902.tif",19,3.65375113487244
"20160902.tif",20,3.68470740318298
"20160902.tif",21,3.81726336479187
"20160902.tif",22,3.92920058965683
"20160902.tif",23,4.02983379364014
"20160902.tif",24,4.15423667430878
"20160902.tif",25,4.18669652938843
"20160902.tif",26,4.06927919387817
"20160902.tif",27,3.94367480278015
"20160902.tif",28,3.92751383781433
"20160902.tif",29,NA
"20160903.tif",1,NA
"20160903.tif",2,4.16353464126587
"20160903.tif",3,4.2339916229248
"20160903.tif",4,4.17607760429382
"20160903.tif",5,4.21816611289978
"20160903.tif",6,4.24856662750244
"20160903.tif",7,4.36373996734619
"20160903.tif",8,4.55595767498016
"20160903.tif",9,4.91732859611511
"20160903.tif",10,5.10914528369904
"20160903.tif",11,5.14481163024902
"20160903.tif",12,4.64418792724609
