"date","city_num","pm25"
"20110101.tif",1,NA
"20110101.tif",2,42.1834678649902
"20110101.tif",3,41.7783069610596
"20110101.tif",4,37.6809530258179
"20110101.tif",5,41.3489599227905
"20110101.tif",6,40.7435569763184
"20110101.tif",7,42.8436050415039
"20110101.tif",8,46.5902042388916
"20110101.tif",9,48.8125982284546
"20110101.tif",10,49.6798858642578
"20110101.tif",11,51.2682876586914
"20110101.tif",12,53.1158294677734
"20110101.tif",13,53.1158294677734
"20110101.tif",14,52.7420768737793
"20110101.tif",15,49.5678043365479
"20110101.tif",16,48.2954597473145
"20110101.tif",17,37.2146348953247
"20110101.tif",18,36.6036386489868
"20110101.tif",19,35.6689338684082
"20110101.tif",20,33.138744354248
"20110101.tif",21,32.4183807373047
"20110101.tif",22,29.7054290771484
"20110101.tif",23,20.5840835571289
"20110101.tif",24,25.9139113426208
"20110101.tif",25,26.7388648986816
"20110101.tif",26,26.4821891784668
"20110101.tif",27,27.0541648864746
"20110101.tif",28,25.9104585647583
"20110101.tif",29,NA
"20110102.tif",1,NA
"20110102.tif",2,21.5713157653809
"20110102.tif",3,21.5321130752563
"20110102.tif",4,20.5179824829102
"20110102.tif",5,21.5050277709961
"20110102.tif",6,21.6544761657715
"20110102.tif",7,23.3781814575195
"20110102.tif",8,24.412055015564
"20110102.tif",9,26.8182668685913
"20110102.tif",10,28.3739891052246
"20110102.tif",11,30.486307144165
"20110102.tif",12,29.4168281555176
"20110102.tif",13,29.4168281555176
"20110102.tif",14,27.8910670280457
"20110102.tif",15,26.719144821167
"20110102.tif",16,26.6332607269287
"20110102.tif",17,23.7399411201477
"20110102.tif",18,23.1614503860474
"20110102.tif",19,22.432767868042
"20110102.tif",20,21.9821949005127
"20110102.tif",21,20.9608554840088
"20110102.tif",22,19.5217039585114
"20110102.tif",23,15.6036043167114
"20110102.tif",24,18.3153464794159
"20110102.tif",25,18.9157810211182
"20110102.tif",26,18.6914625167847
"20110102.tif",27,19.0245656967163
"20110102.tif",28,19.1690244674683
"20110102.tif",29,NA
"20110103.tif",1,NA
"20110103.tif",2,21.3353576660156
"20110103.tif",3,22.1570425033569
"20110103.tif",4,21.7712516784668
"20110103.tif",5,22.2895040512085
"20110103.tif",6,22.0761070251465
"20110103.tif",7,23.2738189697266
"20110103.tif",8,23.8375730514526
"20110103.tif",9,24.7801766395569
"20110103.tif",10,25.2135720252991
"20110103.tif",11,26.7732410430908
"20110103.tif",12,24.0385437011719
"20110103.tif",13,24.0385437011719
"20110103.tif",14,24.0223407745361
"20110103.tif",15,23.8461833000183
"20110103.tif",16,23.3790893554688
"20110103.tif",17,19.8285522460938
"20110103.tif",18,18.8756618499756
"20110103.tif",19,17.3429794311523
"20110103.tif",20,17.7627429962158
"20110103.tif",21,15.6860656738281
"20110103.tif",22,15.8915157318115
"20110103.tif",23,15.1349086761475
"20110103.tif",24,15.4080767631531
"20110103.tif",25,15.5787515640259
"20110103.tif",26,15.2625131607056
"20110103.tif",27,14.4132590293884
"20110103.tif",28,13.3961672782898
"20110103.tif",29,NA
"20110104.tif",1,NA
"20110104.tif",2,19.5125484466553
"20110104.tif",3,19.3858923912048
"20110104.tif",4,19.1097617149353
"20110104.tif",5,19.324987411499
"20110104.tif",6,19.8463706970215
"20110104.tif",7,20.9032020568848
"20110104.tif",8,20.3246192932129
"20110104.tif",9,20.934054851532
"20110104.tif",10,21.1613473892212
"20110104.tif",11,22.4292984008789
"20110104.tif",12,20.6906585693359
"20110104.tif",13,20.6906585693359
"20110104.tif",14,20.2435221672058
"20110104.tif",15,20.0925936698914
"20110104.tif",16,20.3127021789551
"20110104.tif",17,19.0241742134094
"20110104.tif",18,18.7891974449158
"20110104.tif",19,19.0887203216553
"20110104.tif",20,19.536039352417
"20110104.tif",21,17.9195690155029
"20110104.tif",22,17.9584565162659
"20110104.tif",23,17.4189834594727
"20110104.tif",24,17.2636032104492
